timestamp,model_version,model_type,input_summary,prediction,latency_ms,feedback_score,feedback_text
2026-01-04T13:54:08.340279,v1_old,baseline,"area=2200, bedrooms=4, bathrooms=3, stories=2, mainroad=yes, guestroom=yes, basement=yes, hotwaterheating=yes, airconditioning=yes, airconditioning, parking=2, prearea=yes, furnishingstatus=furnished",3403653.25,3.464460373,5,Modern Suburban House - Very accurate estimate for a modern family home.
2026-01-04T13:54:08.341702,v2_new,improved,"area=2200, bedrooms=4, bathrooms=3, stories=2, mainroad=yes, guestroom=yes, basement=yes, hotwaterheating=yes, airconditioning=yes, airconditioning, parking=2, prearea=yes, furnishingstatus=furnished",8901797.724,3.464460373,5,Modern Suburban House - Very accurate estimate for a modern family home.
2026-01-04T13:56:15.177480,v1_old,baseline,"area=1000, bedrooms=2, bathrooms=2, stories=1, mainroad=yes, guestroom=no, basement=yes, hotwaterheating=no, airconditioning=yes, airconditioning, parking=0, prearea=yes, furnishingstatus=semi-furnished",2849283.377,3.797054291,4,Compact City House - Reasonable pricing for city property.
2026-01-04T13:56:15.179894,v2_new,improved,"area=1000, bedrooms=2, bathrooms=2, stories=1, mainroad=yes, guestroom=no, basement=yes, hotwaterheating=no, airconditioning=yes, airconditioning, parking=0, prearea=yes, furnishingstatus=semi-furnished",5184207.402,3.797054291,4,Compact City House - Reasonable pricing for city property.
2026-01-04T13:57:05.912231,v1_old,baseline,"area=5000, bedrooms=5, bathrooms=4, stories=2, mainroad=yes, guestroom=yes, basement=yes, hotwaterheating=yes, airconditioning=yes, airconditioning, parking=3, prearea=yes, furnishingstatus=furnished",4697182.954,3.354072571,5,Luxury Detached House - Excellent prediction for high-end housing.
2026-01-04T13:57:05.913633,v2_new,improved,"area=5000, bedrooms=5, bathrooms=4, stories=2, mainroad=yes, guestroom=yes, basement=yes, hotwaterheating=yes, airconditioning=yes, airconditioning, parking=3, prearea=yes, furnishingstatus=furnished",10964950.77,3.354072571,5,Luxury Detached House - Excellent prediction for high-end housing.
2026-01-04T13:58:10.833266,v1_old,baseline,"area=900, bedrooms=2, bathrooms=1, stories=1, mainroad=no, guestroom=no, basement=no, hotwaterheating=no, airconditioning=no, airconditioning, parking=1, prearea=no, furnishingstatus=unfurnished",2803085.887,3.443956375,3,Budget First-Time Buyer House - Slightly optimistic but usable for budgeting.
2026-01-04T13:58:10.834998,v2_new,improved,"area=900, bedrooms=2, bathrooms=1, stories=1, mainroad=no, guestroom=no, basement=no, hotwaterheating=no, airconditioning=no, airconditioning, parking=1, prearea=no, furnishingstatus=unfurnished",1796461.087,3.443956375,3,Budget First-Time Buyer House - Slightly optimistic but usable for budgeting.
2026-01-04T13:59:22.505022,v1_old,baseline,"area=2000, bedrooms=3, bathrooms=2, stories=2, mainroad=yes, guestroom=yes, basement=no, hotwaterheating=yes, airconditioning=yes, airconditioning, parking=2, prearea=yes, furnishingstatus=semi-furnished",3311258.271,3.386259079,4,Renovated Mid-Range House - Model v2 improves accuracy with added features.
2026-01-04T13:59:22.506287,v2_new,improved,"area=2000, bedrooms=3, bathrooms=2, stories=2, mainroad=yes, guestroom=yes, basement=no, hotwaterheating=yes, airconditioning=yes, airconditioning, parking=2, prearea=yes, furnishingstatus=semi-furnished",7354062.655,3.386259079,4,Renovated Mid-Range House - Model v2 improves accuracy with added features.
